中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
朱晓渔,,,回族,内地,1979-6-21,重庆,183CM,65KG,B型,双子座,重庆艺术学院表演系,演员,,《半为苍生半美人》,搭档孙玮 搭档苏倩薇,https://image.ijq.tv/201411/25/15-35-46-92-13.jpg,images/15-35-46-92-13.jpg,朱晓渔,https://www.ijq.tv/mingxing/561.html,https://image.ijq.tv/201411/25/15-35-46-92-13.jpg,
魏千翔,Shawn Wei,白老大,汉族,内地,1987-4-1,上海,180CM,70KG,O型,白羊座,上海戏剧学院,演员,上海耀客文化传媒有限公司,《兰陵王》《美丽的秘密》《爱的创可贴》《鹿鼎记》,师姐张萌 好友陈晓 搭档林依晨 搭档陈彦妃,https://image.ijq.tv/201411/25/15-32-20-60-7.jpg,images/15-32-20-60-7.jpg,魏千翔,https://www.ijq.tv/mingxing/560.html,https://image.ijq.tv/201411/25/15-32-20-60-7.jpg,
姚奕辰,Ethan,姚小帅,汉族,内地,1985-1-28,上海,183CM,75KG,B型,水瓶座,上海戏剧学院03级表演系本科,演员,新原野娱乐传媒有限公司,《深宅雪》《克拉恋人》《青丘狐传说》《我的宝贝》《说好的幸福》,习雪,https://image.ijq.tv/201411/25/15-18-43-77-10.jpg,images/15-18-43-77-10.jpg,姚奕辰,https://www.ijq.tv/mingxing/562.html,https://image.ijq.tv/201411/25/15-18-43-77-10.jpg,姚奕辰的新浪微博
张默,,,汉族,内地,1982-7-28,四川省成都市,,65KG,,狮子座,北京中央戏剧学院表演系,,,《失恋33天》《一九四二》《让子弹飞》《济公新传》,父亲张国立 母亲罗秀春 旧爱牛萌萌,https://image.ijq.tv/201411/25/15-19-02-92-13.jpg,images/15-19-02-92-13.jpg,张默,https://www.ijq.tv/mingxing/559.html,https://image.ijq.tv/201411/25/15-19-02-92-13.jpg,
刘璇,Xuan Lau,璇璇,汉族,内地,1979-8-12,湖南省长沙市,,48KG,B型,狮子座,北京大学,"演员,其他",TVB,《我和我的父亲》《女拳》《壮士出征》《东方战场》《六个陌生人》,,https://image.ijq.tv/201411/25/15-14-26-61-7.jpg,images/15-14-26-61-7.jpg,刘璇,https://www.ijq.tv/mingxing/558.html,https://image.ijq.tv/201411/25/15-14-26-61-7.jpg,刘璇的新浪微博
赵柯,,Karina Zhao,汉族,内地,1983-2-13,河南省郑州市,167CM,49KG,A型,水瓶座,解放军艺术学院、北京电影学院,演员,,《翻手为云覆手雨》《缘来幸福》《无懈可击之美女如云》《且行且珍惜》,搭档贾乃亮,https://image.ijq.tv/201411/25/15-00-44-39-13.jpg,images/15-00-44-39-13.jpg,赵柯,https://www.ijq.tv/mingxing/556.html,https://image.ijq.tv/201411/25/15-00-44-39-13.jpg,赵柯的新浪微博
黄志忠,Huang Zhizhong,,汉族,内地,1969-3-5,天津市和平区,180CM,70KG,O型,双鱼座,中央戏剧学院,演员,北京拾捌文化经纪有限公司,《大宅门》《人间正道是沧桑》《新亮剑》《我的绝密生涯》《金水桥边》,好友柯蓝 前妻何音 搭档任泉 搭档左小青 同学孙红雷,https://image.ijq.tv/201411/25/14-56-42-15-7.jpg,images/14-56-42-15-7.jpg,黄志忠,https://www.ijq.tv/mingxing/557.html,https://image.ijq.tv/201411/25/14-56-42-15-7.jpg,
雷佳音,,,汉族,内地,1983-8-29,辽宁省鞍山市铁东区,184CM,70KG,B型,处女座,上海戏剧学院表演系,演员,,《黄金大劫案》《永远恋爱真美》《爱情碟中谍》《我的媳妇是女王》《白鹿原》,搭档夏梓桐 搭档钱芳,https://image.ijq.tv/201411/25/14-57-27-47-13.jpg,images/14-57-27-47-13.jpg,雷佳音,https://www.ijq.tv/mingxing/555.html,https://image.ijq.tv/201411/25/14-57-27-47-13.jpg,雷佳音的新浪微博
鹿晗,LU HAN,鹿哈尼,汉族,内地,1990-4-20,北京市海淀区,178CM,60KG,O型,白羊座,韩国首尔综合艺术大学,"演员,歌手",S.M Entertainment,《盗墓笔记》《重返20岁》《择天记》,团体EXO 搭档宝儿 关晓彤,https://image.ijq.tv/201602/23/23-24-47-77-1.jpg,images/23-24-47-77-1.jpg,鹿晗,https://www.ijq.tv/mingxing/554.html,https://image.ijq.tv/201602/23/23-24-47-77-1.jpg,鹿晗的新浪微博
贾青,,JiaQing,汉族,内地,1986-11-2,陕西西安,170CM,47KG,AB型,天蝎座,上海师范大学谢晋影视艺术学院,演员,,《八仙全传》《战火中青春》《新版天龙八部》《鹿鼎记》《妻子的谎言》,搭档张翰 搭档杨洋 搭档郭晓冬 搭档韩栋,https://image.ijq.tv/201503/18/14-53-39-12-7.jpg,images/14-53-39-12-7.jpg,贾青,https://www.ijq.tv/mingxing/553.html,https://image.ijq.tv/201503/18/14-53-39-12-7.jpg,贾青的新浪微博
